,cut,comuna,,provincia,región,superficie(km²),población2020,densidad(hab./km²),idh 2005,latitud,longitud
53,5302,calle larga,,los andes,valparaíso,3217.0,16482,51.1,0.706,"-32°52'59""","-70°28'55"""
54,5303,rinconada,,los andes,valparaíso,1225.0,11263,91.5,0.691,"-32°49'59.38""","-70°41'18.28"""
55,5304,san esteban,,los andes,valparaíso,681.0,20643,30.3,0.732,"-32°48'18""","-70°34'51.6"""
56,5401,la ligua,,petorca,valparaíso,1163.0,37739,32.4,0.708,"-32°21'13.28""","-71°16'19.63"""
57,5402,cabildo,,petorca,valparaíso,1455.0,20663,14.2,0.671,"-32°24'32.4""","-71°4'48"""
58,5403,papudo,,petorca,valparaíso,643.0,6201,96.8,0.734,"-32°28'12""","-71°22'51.6"""
59,5404,petorca,,petorca,valparaíso,1517.0,10558,6.95,0.696,"-32°17'24""","-70°57'0"""
60,5405,zapallar,,petorca,valparaíso,288.0,7994,27.7,0.743,"-32°34'4.8""","-71°26'16.8"""
61,5501,quillota,,quillota,valparaíso,302.0,97572,323.0,0.726,"-32°54'54""","-71°15'50.4"""
62,5502,la calera,,quillota,valparaíso,605.0,53591,878.5,0.7,"-32°47'2.4""","-71°12'14.4"""
63,5503,hijuelas,,quillota,valparaíso,267.0,19099,71.5,0.672,"-32°51'18""","-71°5'38.4"""
64,5504,la cruz,,quillota,valparaíso,78.0,25321,324.6,0.763,"-32°49'26.4""","-71°14'38.4"""
65,5506,nogales,,quillota,valparaíso,405.0,23490,58.0,0.689,"-32°44'9.6""","-71°12'28.8"""
66,5601,san antonio,,san antonio,valparaíso,405.0,96761,238.9,0.697,"-33°35'41""","-71°36'26.9"""
67,5602,algarrobo,,san antonio,valparaíso,176.0,15174,86.2,"0,722","-33°22'09""","-71°40'05"""
68,5603,cartagena,,san antonio,valparaíso,246.0,25357,103.0,0.708,"-33°33'13.8""","-71°36'27.4"""
69,5604,el quisco,,san antonio,valparaíso,51.0,17742,347.8,0.745,"-33°23'29""","-71°41'34"""
70,5605,el tabo,,san antonio,valparaíso,99.0,14338,144.8,0.747,"-33°28'48""","-71°37'15.6"""
71,5606,santo domingo,,san antonio,valparaíso,536.0,11934,22.2,0.751,"-33°42'28.8""","-71°37'48"""
72,5701,san felipe,,san felipe de aconcagua,valparaíso,186.0,83494,448.8,0.73,"-32°45'0""","-70°42'46.8"""
73,5702,catemu,,san felipe de aconcagua,valparaíso,3616.0,15213,42.0,0.669,"-32°46'51.6""","-70°58'8.4"""
74,5703,llay-llay,,san felipe de aconcagua,valparaíso,3491.0,26533,76.0,0.676,"-32°50'38.4""","-70°57'25.2"""
75,5704,panquehue,,san felipe de aconcagua,valparaíso,1219.0,7633,62.5,0.696,"-32°47'2.4""","-70°50'13.2"""
76,5705,putaendo,,san felipe de aconcagua,valparaíso,1474.0,17645,11.9,0.674,"-32°37'40.8""","-70°42'57.6"""
77,5706,santa maría,,san felipe de aconcagua,valparaíso,1663.0,16367,98.5,0.699,"-32°45'1.2""","-70°40'1.2"""
78,5801,quilpué,,marga marga,valparaíso,5369.0,167085,311.1,0.752,"-33°2'51.07""","-71°26'32.96"""
79,5802,limache,,marga marga,valparaíso,294.0,49931,169.8,0.722,"-33°0'10.8""","-71°15'39.6"""
80,5803,olmué,,marga marga,valparaíso,232.0,19266,83.0,0.701,"-33°0'32.4""","-71°10'12"""
81,5804,villa alemana,,marga marga,valparaíso,97.0,139310,1.436.1,0.755,"-33°3'57.6""","-71°19'44.4"""
82,6101,rancagua,,cachapoal,lib. gral. bernardo o'higgins,2603.0,265211,1.020,0.732,"-34°9'43.2""","-70°44'27.6"""
83,6102,codegua,,cachapoal,lib. gral. bernardo o'higgins,287.0,14096,49.1,0.706,"-34°1'58.8""","-70°40'1.2"""
84,6103,coinco,,cachapoal,lib. gral. bernardo o'higgins,98.0,7831,79.9,0.678,"-34°16'22.8""","-70°57'10.8"""
85,6104,coltauco,,cachapoal,lib. gral. bernardo o'higgins,225.0,21263,94.5,0.644,"-34°17'49.2""","-71°5'31.2"""
86,6105,doñihue,,cachapoal,lib. gral. bernardo o'higgins,78.0,22700,291.0,0.685,"-34°11'6""","-70°53'2.4"""
87,6106,graneros,,cachapoal,lib. gral. bernardo o'higgins,113.0,36504,323.0,0.691,"-34°3'46.8""","-70°43'15.6"""
88,6107,las cabras,,cachapoal,lib. gral. bernardo o'higgins,749.0,26740,35.7,0.661,"-34°17'6""","-71°18'36"""
89,6108,machalí,,cachapoal,lib. gral. bernardo o'higgins,2597.0,59913,23.1,0.73,"-34°11'6""","-70°39'43.2"""
90,6109,malloa,,cachapoal,lib. gral. bernardo o'higgins,113.0,14163,125.3,0.649,"-34°26'42""","-70°56'42"""
91,6110,mostazal,,cachapoal,lib. gral. bernardo o'higgins,524.0,27462,52.4,0.691,"-33°58'37.2""","-70°42'32.4"""
92,6111,olivar,,cachapoal,lib. gral. bernardo o'higgins,45.0,14624,324.9,0.661,"-34°12'50.4""","-70°49'8.4"""
93,6112,peumo,,cachapoal,lib. gral. bernardo o'higgins,1531.0,14952,97.7,0.674,"-34°23'20.4""","-71°10'15.6"""
94,6113,pichidegua,,cachapoal,lib. gral. bernardo o'higgins,320.0,20743,64.8,0.652,"-34°21'25.2""","-71°17'13.2"""
95,6114,quinta de tilcoco,,cachapoal,lib. gral. bernardo o'higgins,93.0,13877,149.2,0.678,"-34°21'25.2""","-70°58'8.4"""
96,6115,rengo,,cachapoal,lib. gral. bernardo o'higgins,755.0,63710,84.3,0.68,"-34°24'7.2""","-70°51'21.6"""
97,6116,requínoa,,cachapoal,lib. gral. bernardo o'higgins,673.0,30371,45.1,0.668,"-34°16'58.8""","-70°48'21.6"""
98,6117,san vicente,,cachapoal,lib. gral. bernardo o'higgins,4978.0,50617,101.6,0.694,"-34°4'58.8""","-71°45'0"""
99,6201,pichilemu,,cardenal caro,lib. gral. bernardo o'higgins,7491.0,17882,23.8,0.677,"-34°24'7.2""","-72°0'32.4"""
100,6202,la estrella,,cardenal caro,lib. gral. bernardo o'higgins,435.0,3114,7.15,0.696,"-34°12'0""","-71°40'1.2"""
101,6203,litueche,,cardenal caro,lib. gral. bernardo o'higgins,619.0,6765,10.9,0.645,"-34°7'8.4""","-71°43'40.8"""
102,6204,marchihue,,cardenal caro,lib. gral. bernardo o'higgins,660.0,7632,11.5,0.67,"-34°23'60""","-71°37'58.8"""
103,6205,navidad,,cardenal caro,lib. gral. bernardo o'higgins,300.0,6904,23.0,0.651,"-33°57'0""","-71°49'58.8"""
104,6206,paredones,,cardenal caro,lib. gral. bernardo o'higgins,562.0,6349,11.2,0.628,"-34°39'39.6""","-71°53'38.4"""
105,6301,san fernando,,colchagua,lib. gral. bernardo o'higgins,2441.0,78642,32.2,0.725,"-34°35'2.4""","-70°59'13.2"""
106,6302,chépica,,colchagua,lib. gral. bernardo o'higgins,503.0,15925,31.6,0.637,"-34°43'58.8""","-71°16'58.8"""
107,6303,chimbarongo,,colchagua,lib. gral. bernardo o'higgins,498.0,37696,75.6,0.674,"-34°42'28.8""","-71°2'31.2"""
108,6304,lolol,,colchagua,lib. gral. bernardo o'higgins,597.0,7289,12.2,0.628,"-34°43'51.6""","-71°38'9.6"""
109,6305,nancagua,,colchagua,lib. gral. bernardo o'higgins,111.0,19141,172.4,0.665,"-34°38'56.4""","-71°12'10.8"""
110,6306,palmilla,,colchagua,lib. gral. bernardo o'higgins,237.0,13299,56.1,0.676,"-34°36'14.4""","-71°21'28.8"""
111,6307,peralillo,,colchagua,lib. gral. bernardo o'higgins,2826.0,11848,41.8,0.653,"-34°28'58.8""","-71°28'58.8"""
112,6308,placilla,,colchagua,lib. gral. bernardo o'higgins,1469.0,9164,62.3,0.621,"-34°37'58.8""","-71°7'1.2"""
113,6309,pumanque,,colchagua,lib. gral. bernardo o'higgins,441.0,3531,8.0,0.635,"-34°36'18""","-71°38'38.4"""
114,6310,santa cruz,,colchagua,lib. gral. bernardo o'higgins,4195.0,41096,97.8,0.719,"-34°37'51.6""","-71°21'32.4"""
115,7101,talca,,talca,maule,232.0,236724,1.016,0.731,"-35°25'22.8""","-71°39'25.2"""
116,7102,constitución,,talca,maule,1344.0,50348,37.4,0.715,"-35°20'20.4""","-72°24'50.4"""
117,7103,curepto,,talca,maule,1073.8,9426,8.77,0.644,"-35°4'58.8""","-72°1'1.2"""
118,7104,empedrado,,talca,maule,565.0,4206,7.44,0.637,"-35°35'27.6""","-72°16'22.8"""
119,7105,maule,,talca,maule,190.0,60000,315.7,0.681,"-35°30'57.6""","-71°34'19.2"""
120,7106,pelarco,,talca,maule,332.0,9083,27.3,0.653,"-35°22'40.8""","-71°26'42"""
121,7107,pencahue,,talca,maule,9568.0,8601,8.98,0.649,"-35°23'27.6""","-71°47'60"""
122,7108,río claro,,talca,maule,431.0,14753,34.2,0.671,"-35°13'1.2""","-71°15'0"""
123,7109,san clemente,,talca,maule,4504.0,46292,10.2,0.659,"-35°32'2.4""","-71°29'9.6"""
124,7110,san rafael,,talca,maule,2635.0,9959,17.9,0.629,"-35°19'1.2""","-71°31'58.8"""
125,7201,cauquenes,,cauquenes,maule,2216.0,50441,19.9,0.656,"-35°57'50.4""","-72°19'1.2"""
126,7202,chanco,,cauquenes,maule,530.0,9331,17.6,0.612,"-35°43'44.4""","-72°31'48"""
127,7203,pelluhue,,cauquenes,maule,371.0,8092,21.8,0.694,"-35°48'50.4""","-72°34'26.4"""
128,7301,curicó,,curicó,maule,1328.0,163626,123.2,0.71,"-34°58'33.6""","-71°13'26.4"""
129,7302,hualañé,,curicó,maule,629.0,10222,16.2,0.631,"-34°58'58.8""","-71°49'1.2"""
130,7303,licantén,,curicó,maule,273.0,6989,25.6,0.705,"-34°58'58.8""","-72°0'0"""
131,7304,molina,,curicó,maule,1552.0,49800,32.0,0.663,"-35°5'24""","-71°16'44.4"""
132,7305,rauco,,curicó,maule,309.0,11248,36.4,0.659,"-34°55'44.4""","-71°18'39.6"""
133,7306,romeral,,curicó,maule,1597.0,16170,10.1,0.668,"-34°58'1.2""","-71°7'58.8"""
134,7307,sagrada familia,,curicó,maule,5488.0,19469,35.4,0.672,"-35°0'0""","-71°22'58.8"""
135,7308,teno,,curicó,maule,6184.0,30850,49.9,0.648,"-34°52'22.8""","-71°9'43.2"""
136,7309,vichuquén,,curicó,maule,426.0,4381,10.2,0.678,"-34°49'22.8""","-72°2'6"""
137,7401,linares,,linares,maule,1466.0,101073,68.9,0.71,"-35°51'0""","-71°35'6"""
138,7402,colbún,,linares,maule,2899.9,22565,7.78,0.638,"-35°42'0""","-71°25'1.2"""
139,7403,longaví,,linares,maule,1454.0,32810,22.5,0.626,"-35°57'57.6""","-71°40'55.2"""
140,7404,parral,,linares,maule,1638.0,44544,27.1,0.656,"-36°8'49.2""","-71°49'19.2"""
141,7405,retiro,,linares,maule,827.0,21071,25.4,0.649,"-36°2'45.6""","-71°45'32.4"""
142,7406,san javier,,linares,maule,1313.0,49451,37.6,0.654,"-35°2'60""","-71°28'1.2"""
143,7407,villa alegre,,linares,maule,190.0,17512,92.1,0.648,"-35°39'54""","-71°44'31.2"""
144,7408,yerbas buenas,,linares,maule,262.0,19200,73.2,0.64,"-35°45'0""","-71°34'58.8"""
145,16101,chillán,,diguillín,ñuble,5112.0,198624,388.6,0.714,"-36°36'3.6""","-72°6'32.4"""
146,16102,bulnes,,diguillín,ñuble,4254.0,22607,53.1,0.626,"-36°44'20.4""","-72°17'31.2"""
147,16103,chillán viejo,,diguillín,ñuble,2918.0,33827,115.8,0.732,"-36°37'58.8""","-72°8'24"""
148,16104,el carmen,,diguillín,ñuble,6643.0,12334,18.5,0.611,"-36°53'60""","-72°1'58.8"""
149,16105,pemuco,,diguillín,ñuble,5627.0,8639,15.3,0.631,"-36°58'40.8""","-72°5'27.6"""
150,16106,pinto,,diguillín,ñuble,1164.0,11880,10.2,0.618,"-36°42'0""","-71°54'0"""
151,16107,quillón,,diguillín,ñuble,423.0,18777,44.3,0.59,"-36°44'16.8""","-72°28'8.4"""
152,16108,san ignacio,,diguillín,ñuble,3636.0,16624,45.6,0.618,"-36°47'60""","-72°1'58.8"""
153,16109,yungay,,diguillín,ñuble,8235.0,18596,22.5,0.669,"-37°6'16.02""","-71°55'50.92"""
154,16201,quirihue,,itata,ñuble,589.0,12192,20.6,0.594,"-36°16'51.6""","-72°32'42"""
155,16202,cobquecura,,itata,ñuble,5703.0,5275,9.25,0.633,"-36°7'58.8""","-72°46'58.8"""
156,16203,coelemu,,itata,ñuble,3423.0,16845,49.2,0.611,"-36°29'6""","-72°41'38.4"""
157,16204,ninhue,,itata,ñuble,4012.0,5414,13.5,0.569,"-36°24'3.6""","-72°23'49.2"""
158,16205,portezuelo,,itata,ñuble,2823.0,4940,17.5,0.599,"-36°31'58.8""","-72°25'58.8"""
159,16206,ránquil,,itata,ñuble,2483.0,6261,25.2,0.586,"-36°38'60""","-72°32'60"""
160,16207,treguaco,,itata,ñuble,3131.0,5696,18.1,0.562,"-36°25'44.4""","-72°39'54"""
161,16301,san carlos,,punilla,ñuble,874.0,56252,64.3,0.653,"-36°25'19.2""","-71°57'32.4"""
162,16302,coihueco,,punilla,ñuble,1776.6,28375,15.9,0.639,"-35°46'58.8""","-72°25'58.8"""
163,16303,ñiquén,,punilla,ñuble,4931.0,11567,23.4,0.629,"-36°17'13.2""","-71°53'56.4"""
164,16304,san fabián,,punilla,ñuble,1568.3,4654,2.96,0.618,"-36°33'14.4""","-71°32'56.4"""
165,16305,san nicolás,,punilla,ñuble,4905.0,12172,24.7,0.625,"-36°52'58.8""","-72°28'58.8"""
166,8101,concepción,,concepción,biobío,2216.0,238092,1.072.4,0.757,"-36°48'54""","-73°1'44.4"""
167,8102,coronel,,concepción,biobío,2794.0,125829,451.0,0.682,"-36°58'55.2""","-73°9'25.2"""
168,8103,chiguayante,,concepción,biobío,715.0,91180,1.266.3,0.764,"-36°54'32.4""","-73°1'40.8"""
169,8104,florida,,concepción,biobío,6086.0,11841,19.4,0.604,"-36°49'15.6""","-72°39'43.2"""
170,8105,hualqui,,concepción,biobío,5305.0,26201,49.3,0.666,"-36°58'1.2""","-72°55'58.8"""
171,8106,lota,,concepción,biobío,1358.0,45750,336.3,0.643,"-37°5'20.4""","-73°9'18"""
172,8107,penco,,concepción,biobío,1076.0,49865,461.7,0.689,"-36°44'31.2""","-72°59'52.8"""
173,8108,san pedro de la paz,,concepción,biobío,1125.0,145906,1.291.2,0.787,"-36°51'50.4""","-73°6'28.8"""
174,8109,santa juana,,concepción,biobío,7312.0,14779,20.2,0.626,"-37°10'45.6""","-72°56'7.2"""
175,8110,talcahuano,,concepción,biobío,923.0,158345,1.721.1,0.731,"-36°44'9.6""","-73°6'18"""
176,8111,tomé,,concepción,biobío,4945.0,58729,118.6,0.668,"-36°37'26.4""","-72°57'0"""
177,8112,hualpén,,concepción,biobío,535.0,97273,1.802.3,"0,712","-36°47'20.4""","-73°6'36"""
178,8201,lebu,,arauco,biobío,5614.0,27100,48.3,0.633,"-37°36'21.6""","-73°38'34.8"""
179,8202,arauco,,arauco,biobío,9561.0,38679,40.4,0.704,"-37°15'25.2""","-73°17'2.4"""
180,8203,cañete,,arauco,biobío,1089.2,37003,33.9,0.641,"-37°48'4.6""","-73°23.77'46.2"""
181,8204,contulmo,,arauco,biobío,6388.0,6330,9.90,0.603,"-38°0'18""","-73°13'30"""
182,8205,curanilahue,,arauco,biobío,9943.0,33892,34.0,0.643,"-37°28'19.2""","-73°20'52.8"""
183,8206,los álamos,,arauco,biobío,5991.0,22524,37.6,0.645,"-37°37'15.6""","-73°27'21.6"""
184,8207,tirúa,,arauco,biobío,6244.0,11019,17.6,0.584,"-38°20'20.4""","-73°29'2.4"""
185,8301,los ángeles,,biobío,biobío,1748.2,218515,125.0,0.696,"-36°56'38.4""","-72°21'3.6"""
186,8302,antuco,,biobío,biobío,1884.1,4306,2.28,0.662,"-37°19'37.2""","-71°40'40.8"""
187,8303,cabrero,,biobío,biobío,6398.0,30725,48.0,0.635,"-37°2'20.4""","-72°23'56.4"""
188,8304,laja,,biobío,biobío,3398.0,23873,70.2,0.665,"-37°16'1.2""","-72°42'0"""
189,8305,mulchén,,biobío,biobío,1925.3,31041,16.1,0.639,"-37°42'54""","-72°14'20.4"""
190,8306,nacimiento,,biobío,biobío,9349.0,27944,29.8,0.656,"-37°30'3.6""","-72°40'33.6"""
191,8307,negrete,,biobío,biobío,1565.0,10429,66.4,0.629,"-37°34'58.8""","-72°31'1.2"""
192,8308,quilaco,,biobío,biobío,1123.7,4179,3.71,0.635,"-37°40'48""","-72°0'25.2"""
193,8309,quilleco,,biobío,biobío,1121.8,10032,8.94,0.641,"-37°28'1.2""","-71°58'1.2"""
194,8310,san rosendo,,biobío,biobío,924.0,3611,39.2,0.647,"-37°15'28.8""","-72°42'57.6"""
195,8311,santa bárbara,,biobío,biobío,1254.9,14592,11.6,0.637,"-37°39'46.8""","-72°1'4.8"""
196,8312,tucapel,,biobío,biobío,9149.0,15205,16.6,0.655,"-37°37'58.8""","-73°19'58.8"""
197,8313,yumbel,,biobío,biobío,727.0,22132,30.4,0.597,"-37°5'45.6""","-72°33'21.6"""
198,8314,alto biobío,,biobío,biobío,2124.6,6775,3.18,,"-38°37'8.4""","-71°19'27.6"""
199,9101,temuco,,cautín,la araucanía,464.0,302931,652.8,0.763,"-38°43'37.2""","-72°35'56.4"""
200,9102,carahue,,cautín,la araucanía,1340.6,25486,19.0,0.604,"-38°42'25.2""","-73°9'36"""
201,9103,cunco,,cautín,la araucanía,1906.5,18055,9.46,0.659,"-38°55'48""","-72°1'37.2"""
202,9104,curarrehue,,cautín,la araucanía,1170.7,7802,6.66,0.603,"-39°21'32.4""","-71°35'16.8"""
203,9105,freire,,cautín,la araucanía,9352.0,25446,27.2,0.614,"-38°57'14.4""","-72°37'19.2"""
204,9106,galvarino,,cautín,la araucanía,5682.0,12633,22.2,0.611,"-38°23'60""","-72°46'58.8"""
205,9107,gorbea,,cautín,la araucanía,6945.0,15148,21.7,0.644,"-39°5'42""","-72°40'19.2"""
206,9108,lautaro,,cautín,la araucanía,9011.0,40746,45.2,0.669,"-38°31'44.4""","-72°25'37.2"""
207,9109,loncoche,,cautín,la araucanía,9768.0,24739,25.3,0.652,"-39°21'14.4""","-72°37'40.8"""
208,9110,melipeuco,,cautín,la araucanía,1107.3,6265,5.65,0.629,"-38°50'34.8""","-71°41'13.2"""
209,9111,nueva imperial,,cautín,la araucanía,7325.0,33777,46.0,0.629,"-38°44'42""","-72°57'0"""
210,9112,padre las casas,,cautín,la araucanía,4007.0,82110,204.7,0.662,"-38°45'57.6""","-72°35'34.8"""
211,9113,perquenco,,cautín,la araucanía,3307.0,7223,21.8,0.63,"-38°25'1.2""","-72°22'58.8"""
212,9114,pitrufquén,,cautín,la araucanía,5807.0,26096,44.9,0.663,"-38°58'58.8""","-72°38'34.8"""
213,9115,pucón,,cautín,la araucanía,1248.5,29782,23.8,0.767,"-39°16'55.2""","-71°57'14.4"""
214,9116,saavedra,,cautín,la araucanía,4008.0,12793,31.9,0.574,"-38°46'58.8""","-73°24'0"""
215,9117,teodoro schmidt,,cautín,la araucanía,6499.0,15786,24.2,0.607,"-38°58'1.2""","-73°2'60"""
216,9118,toltén,,cautín,la araucanía,8604.0,10055,11.6,0.617,"-39°13'1.2""","-73°13'1.2"""
217,9119,vilcún,,cautín,la araucanía,1420.9,30766,21.6,0.643,"-38°38'60""","-72°13'58.8"""
218,9120,villarrica,,cautín,la araucanía,1291.1,59103,45.7,0.698,"-39°16'48""","-72°13'4.8"""
219,9121,cholchol,,cautín,la araucanía,4279.0,12341,28.8,,"-38°36'0""","-72°50'60"""
220,9201,angol,,malleco,la araucanía,1194.4,56058,46.9,0.707,"-37°48'10.8""","-72°42'7.2"""
221,9202,collipulli,,malleco,la araucanía,1295.9,26148,20.1,0.633,"-37°57'10.8""","-72°25'55.2"""
222,9203,curacautín,,malleco,la araucanía,1664.0,18178,10.9,0.657,"-38°25'55.2""","-71°53'24"""
223,9204,ercilla,,malleco,la araucanía,4997.0,8458,16.9,0.609,"-38°2'60""","-72°22'58.8"""
224,9205,lonquimay,,malleco,la araucanía,3914.2,11049,2.82,0.629,"-38°25'58.8""","-71°13'58.8"""
225,9206,los sauces,,malleco,la araucanía,8498.0,7517,8.84,0.602,"-37°58'1.2""","-72°49'58.8"""
226,9207,lumaco,,malleco,la araucanía,1119.0,10050,8.98,0.603,"-38°9'46.8""","-72°54'14.4"""
227,9208,purén,,malleco,la araucanía,4649.0,12188,26.2,0.594,"-38°1'19.2""","-73°4'12"""
228,9209,renaico,,malleco,la araucanía,2674.0,10833,40.4,0.615,"-37°40'1.2""","-72°34'58.8"""
229,9210,traiguén,,malleco,la araucanía,908.0,19314,21.2,0.657,"-38°14'52.8""","-72°40'30"""
230,9211,victoria,,malleco,la araucanía,1256.0,35467,28.2,0.686,"-38°13'48""","-72°20'34.8"""
231,14101,valdivia,,valdivia,los ríos,1016.0,176774,173.9,0.754,"-39°47'60""","-73°13'58.8"""
232,14102,corral,,valdivia,los ríos,767.0,5447,7.10,0.658,"-39°52'1.2""","-73°25'58.8"""
233,14103,lanco,,valdivia,los ríos,5324.0,17652,33.1,0.648,"-39°26'49.2""","-72°46'19.2"""
234,14104,los lagos,,valdivia,los ríos,1791.2,20518,11.4,0.658,"-41°55'12""","-72°8'31.2"""
