,cut,comuna,,provincia,región,superficie(km²),población2020,densidad(hab./km²),idh 2005,latitud,longitud
235,14105,máfil,,valdivia,los ríos,583.0,7389,12.6,0.655,"-39°38'60""","-72°57'0"""
236,14106,mariquina,,valdivia,los ríos,1320.5,23350,17.6,0.653,"-40°7'58.8""","-72°19'58.8"""
237,14107,paillaco,,valdivia,los ríos,896.0,20798,23.2,0.647,"-40°4'4.8""","-72°52'58.8"""
238,14108,panguipulli,,valdivia,los ríos,3292.0,35991,10.9,0.627,"-39°38'31.2""","-72°20'24"""
239,14201,la unión,,ranco,los ríos,2137.0,39538,18.5,0.687,"-40°17'31.2""","-73°5'16.8"""
240,14202,futrono,,ranco,los ríos,2267.5,15261,6.72,0.637,"-40°7'51.6""","-72°23'45.6"""
241,14203,lago ranco,,ranco,los ríos,1763.3,10292,5.83,0.606,"-40°19'1.2""","-72°30'0"""
242,14204,río bueno,,ranco,los ríos,2211.7,32925,14.8,0.624,"-40°20'16.8""","-72°57'25.2"""
243,10101,puerto montt,,llanquihue,los lagos,1673.0,269398,147.0,0.718,"-41°27'14.4""","-72°59'34.8"""
244,10102,calbuco,,llanquihue,los lagos,5908.0,36744,62.1,0.642,"-41°45'28.8""","-73°9'3.6"""
245,10103,cochamó,,llanquihue,los lagos,3910.8,4006,1.02,0.69,"-41°30'0""","-72°19'1.2"""
246,10104,fresia,,llanquihue,los lagos,1278.1,12656,9.90,0.657,"-41°9'10.8""","-73°25'12"""
247,10105,frutillar,,llanquihue,los lagos,8314.0,20223,24.3,0.669,"-41°7'1.2""","-73°5'60"""
248,10106,los muermos,,llanquihue,los lagos,1245.8,17817,14.2,0.648,"-41°23'27.6""","-73°27'54"""
249,10107,llanquihue,,llanquihue,los lagos,4208.0,18621,44.2,0.695,"-41°15'57.6""","-73°0'43.2"""
250,10108,maullín,,llanquihue,los lagos,8608.0,14894,17.2,0.691,"-41°37'4.8""","-73°35'52.8"""
251,10109,puerto varas,,llanquihue,los lagos,4064.9,48620,11.9,0.748,"-41°19'22.8""","-72°58'12"""
252,10201,castro,,chiloé,los lagos,4725.0,47607,100.6,0.72,"-42°28'40.8""","-73°46'44.4"""
253,10202,ancud,,chiloé,los lagos,1752.4,42458,24.2,0.705,"-41°52'37.2""","-73°48'50.4"""
254,10203,chonchi,,chiloé,los lagos,1362.1,16013,11.7,0.641,"-42°37'33.6""","-73°46'51.6"""
255,10204,curaco de vélez,,chiloé,los lagos,80.0,4066,50.8,0.702,"-42°26'2.4""","-73°34'55.2"""
256,10205,dalcahue,,chiloé,los lagos,1239.4,15069,12.1,0.69,"-42°22'26.4""","-73°39'3.6"""
257,10206,puqueldón,,chiloé,los lagos,973.0,4201,43.3,0.628,"-42°36'14.4""","-73°41'2.4"""
258,10207,queilén,,chiloé,los lagos,3329.0,5543,16.6,0.646,"-42°52'26.4""","-73°28'12"""
259,10208,quellón,,chiloé,los lagos,3244.0,29309,9.03,0.67,"-43°7'15.6""","-73°36'28.8"""
260,10209,quemchi,,chiloé,los lagos,4403.0,8783,19.9,0.656,"-42°8'31.2""","-73°28'40.8"""
261,10210,quinchao,,chiloé,los lagos,1607.0,8298,51.5,0.648,"-42°28'44.4""","-73°29'49.2"""
262,10301,osorno,,osorno,los lagos,951.0,173410,182.3,0.7,"-40°34'26.4""","-73°7'33.6"""
263,10302,puerto octay,,osorno,los lagos,1795.7,9192,5.11,0.679,"-40°58'1.2""","-72°54'0"""
264,10303,purranque,,osorno,los lagos,1458.8,21080,14.4,0.627,"-40°54'32.4""","-73°10'30"""
265,10304,puyehue,,osorno,los lagos,1597.9,11787,7.37,0.675,"-40°43'1.2""","-72°19'15.6"""
266,10305,río negro,,osorno,los lagos,1265.7,14275,11.2,0.633,"-41°58'1.2""","-72°27'0"""
267,10306,san juan de la costa,,osorno,los lagos,1517.0,7639,5.03,0.51,"-40°30'3.6""","-73°23'31.2"""
268,10307,san pablo,,osorno,los lagos,6373.0,10553,16.5,0.625,"-40°23'60""","-73°1'1.2"""
269,10401,chaitén,,palena,los lagos,8470.5,5020,0.59,0.704,"-42°53'56.4""","-72°40'1.2"""
270,10402,futaleufú,,palena,los lagos,1280.0,2806,2.19,0.665,"-43°10'4.8""","-71°50'52.8"""
271,10403,hualaihué,,palena,los lagos,2787.7,9525,3.41,0.659,"-41°59'31.2""","-72°40'1.2"""
272,10404,palena,,palena,los lagos,2763.7,1827,0.66,0.667,"-43°37'22.8""","-71°48'14.4"""
273,11101,coyhaique,,coyhaique,aysén del gral. c. ibáñez del campo,7290.2,61210,8.39,0.751,"-45°33'50.4""","-72°3'54"""
274,11102,lago verde,,coyhaique,aysén del gral. c. ibáñez del campo,5422.3,920,0.16,0.637,"-44°13'8.4""","-71°50'20.4"""
275,11201,aysén,,aysén,aysén del gral. c. ibáñez del campo,29796.4,25002,0.83,0.674,"-45°24'43.2""","-72°41'52.8"""
276,11202,cisnes,,aysén,aysén del gral. c. ibáñez del campo,16093.0,5828,0.36,0.725,"-44°45'3.6""","-72°41'49.2"""
277,11203,guaitecas,,aysén,aysén del gral. c. ibáñez del campo,6206.0,1599,2.57,0.654,"-43°53'2.4""","-73°57'0"""
278,11301,cochrane,,capitán prat,aysén del gral. c. ibáñez del campo,8599.5,3685,0.42,0.668,"-47°16'1.2""","-72°32'60"""
279,11302,o'higgins,,capitán prat,aysén del gral. c. ibáñez del campo,8182.5,661,0.08,0.572,"-48°47'60""","-73°10'58.8"""
280,11303,tortel,,capitán prat,aysén del gral. c. ibáñez del campo,19710.6,572,0.03,0.655,"-47°46'51.6""","-73°30'43.2"""
281,11401,chile chico,,general carrera,aysén del gral. c. ibáñez del campo,5737.1,5121,0.89,0.707,"-46°32'60""","-71°43'58.8"""
282,11402,río ibáñez,,general carrera,aysén del gral. c. ibáñez del campo,5997.2,2699,0.45,0.654,"-46°15'18""","-71°57'0"""
283,12101,punta arenas,,magallanes,magallanes y antártica chilena,17846.3,141984,7.95,0.748,"-53°8'52.8""","-70°54'25.2"""
284,12102,laguna blanca,,magallanes,magallanes y antártica chilena,3695.6,264,0.07,0.785,"-52°16'1.2""","-71°10'58.8"""
285,12103,río verde,,magallanes,magallanes y antártica chilena,17248.0,211,0.01,0.784,"-52°37'40.8""","-71°28'37.2"""
286,12104,san gregorio,,magallanes,magallanes y antártica chilena,6883.7,681,0.09,0.823,"-52°34'1.2""","-70°4'1.2"""
287,12201,cabo de hornos,,antártica chilena,magallanes y antártica chilena,15578.7,1983,0.13,0.806,"-54°56'49.2""","-67°36'25.2"""
288,12202,antártica,,antártica chilena,magallanes y antártica chilena,1250257.6,137,0.0001,,"-75°0'0""","-71°30'00"""
289,12301,porvenir,,tierra del fuego,magallanes y antártica chilena,9707.4,7323,0.75,0.731,"-53°17'52.8""","-70°23'6"""
290,12302,primavera,,tierra del fuego,magallanes y antártica chilena,4253.4,694,0.16,0.774,"-52°53'9.6""","-69°21'10.8"""
291,12303,timaukel,,tierra del fuego,magallanes y antártica chilena,10758.9,282,0.02,0.717,"-53°40'19.2""","-69°42'36"""
292,12401,natales,,última esperanza,magallanes y antártica chilena,49924.1,23782,0.47,0.699,"-51°43'58.8""","-72°31'1.2"""
293,12402,torres del paine,,última esperanza,magallanes y antártica chilena,6630.0,1021,0.15,0.73,"-50°58'55.2""","-72°29'56.4"""
294,13101,santiago,,santiago,metropolitana de santiago,232.0,503147,21.875.9,0.807,"-33°26'14""","-70°39'26"""
295,13102,cerrillos,,santiago,metropolitana de santiago,21.0,88956,4.236,0.743,"-33°30'0""","-70°43'0"""
296,13103,cerro navia,,santiago,metropolitana de santiago,11.0,142465,12.951.3,0.683,"-33°25'19.2""","-70°44'6"""
297,13104,conchalí,,santiago,metropolitana de santiago,107.0,139195,12.654.0,0.707,"-33°22'48""","-70°40'30"""
298,13105,el bosque,,santiago,metropolitana de santiago,142.0,172000,12.285.7,0.711,"-33°34'1.2""","-70°40'30"""
299,13106,estación central,,santiago,metropolitana de santiago,15.0,206792,13.786.1,0.735,"-33°27'32.4""","-70°41'56.4"""
300,13107,huechuraba,,santiago,metropolitana de santiago,448.0,112528,2.500.6,0.737,"-33°22'4.8""","-70°38'2.4"""
301,13108,independencia,,santiago,metropolitana de santiago,7.0,142065,20.295,0.709,"-33°24'46.8""","-70°39'57.6"""
302,13109,la cisterna,,santiago,metropolitana de santiago,10.0,100434,10.043.4,0.775,"-33°31'44.4""","-70°39'46.8"""
303,13110,la florida,,santiago,metropolitana de santiago,702.0,402433,5.749.0,0.804,"-33°31'30""","-70°32'16.8"""
304,13111,la granja,,santiago,metropolitana de santiago,10.0,122557,12.255.7,0.689,"-33°31'60""","-70°37'30"""
305,13112,la pintana,,santiago,metropolitana de santiago,306.0,189335,6.107.5,0.679,"-33°34'58.8""","-70°38'2.4"""
306,13113,la reina,,santiago,metropolitana de santiago,23.0,100252,4.358.7,0.883,"-33°26'34.8""","-70°31'55.2"""
307,13114,las condes,,santiago,metropolitana de santiago,99.0,330759,3.341,0.933,"-33°25'0""","-70°35'0"""
308,13115,lo barnechea,,santiago,metropolitana de santiago,1024.0,124076,121.1,0.912,"-33°21'0""","-70°31'0"""
309,13116,lo espejo,,santiago,metropolitana de santiago,7.0,103865,14.837.8,0.657,"-33°31'19.2""","-70°41'13.2"""
310,13117,lo prado,,santiago,metropolitana de santiago,7.0,104403,14.914.7,0.715,"-33°26'42""","-70°43'33.6"""
311,13118,macul,,santiago,metropolitana de santiago,129.0,134635,10.356.5,0.806,"-33°29'13.2""","-70°36'14.4"""
312,13119,maipú,,santiago,metropolitana de santiago,1355.0,578605,4.254.4,0.902,"-33°31'0""","-70°46'0"""
313,13120,ñuñoa,,santiago,metropolitana de santiago,169.0,250192,14.717.1,0.86,"-33°27'14.4""","-70°36'14.4"""
314,13121,pedro aguirre cerda,,santiago,metropolitana de santiago,10.0,107803,10.780.3,0.708,"-33°27'58.8""","-70°38'1.2"""
315,13122,peñalolén,,santiago,metropolitana de santiago,54.0,266798,4.940.7,0.743,"-33°29'10.28""","-70°32'0"""
316,13123,providencia,,santiago,metropolitana de santiago,143.0,157749,11.267.7,0.911,"-33°26'6""","-70°36'57.6"""
317,13124,pudahuel,,santiago,metropolitana de santiago,197.0,253139,1.284.9,0.735,"-33°26'0""","-70°43'0"""
318,13125,quilicura,,santiago,metropolitana de santiago,58.0,254694,4.391.2,0.782,"-33°21'39.6""","-70°43'44.4"""
319,13126,quinta normal,,santiago,metropolitana de santiago,13.0,136368,10.489.8,0.723,"-33°25'37.2""","-70°41'56.4"""
320,13127,recoleta,,santiago,metropolitana de santiago,16.0,190070,11.879.3,0.697,"-33°24'21.6""","-70°38'24"""
321,13128,renca,,santiago,metropolitana de santiago,24.0,160847,6.993.3,0.709,"-33°23'52.8""","-70°43'22.8"""
322,13129,san joaquín,,santiago,metropolitana de santiago,97.0,103485,10.348.5,0.719,"-33°29'27.6""","-70°37'40.8"""
323,13130,san miguel,,santiago,metropolitana de santiago,100.0,133059,13.305.9,0.765,"-33°29'9""","-70°38'58"""
324,13131,san ramón,,santiago,metropolitana de santiago,7.0,86510,12.358.5,0.679,"-33°31'60""","-70°38'30"""
325,13132,vitacura,,santiago,metropolitana de santiago,283.0,96774,3.456.2,0.949,"-33°24'0""","-70°36'0"""
326,13201,puente alto,,cordillera,metropolitana de santiago,88.0,645909,7.339.8,0.773,"-33°36'57.6""","-70°34'12"""
327,13202,pirque,,cordillera,metropolitana de santiago,4453.0,30433,68.3,0.807,"-33°38'60""","-70°33'50.4"""
328,13203,san josé de maipo,,cordillera,metropolitana de santiago,4994.8,18644,3.74,0.759,"-33°38'38.4""","-70°21'10.8"""
329,13301,colina,,chacabuco,metropolitana de santiago,9712.0,180353,185.7,0.726,"-33°11'38.4""","-70°40'4.8"""
330,13302,lampa,,chacabuco,metropolitana de santiago,452.0,126898,280.7,0.697,"-33°17'9.6""","-70°52'40.8"""
331,13303,til til,,chacabuco,metropolitana de santiago,653.0,21477,32.8,0.709,"-33°5'6""","-70°55'30"""
332,13401,san bernardo,,maipo,metropolitana de santiago,155.0,334836,2.160.2,0.712,"-33°34'55.2""","-70°41'13.2"""
333,13402,buin,,maipo,metropolitana de santiago,214.0,109641,512.3,0.731,"-33°43'40.8""","-70°44'20.4"""
334,13403,calera de tango,,maipo,metropolitana de santiago,733.0,28525,390.7,0.792,"-33°37'40.8""","-70°47'6"""
335,13404,paine,,maipo,metropolitana de santiago,820.0,82766,100.9,0.718,"-33°48'43.2""","-70°43'22.8"""
336,13501,melipilla,,melipilla,metropolitana de santiago,1345.0,141612,105.2,0.735,"-33°41'20.4""","-71°12'28.8"""
337,13502,alhué,,melipilla,metropolitana de santiago,845.0,7405,8.76,0.7,"-34°1'58.8""","-71°5'60"""
338,13503,curacaví,,melipilla,metropolitana de santiago,693.0,36430,52.5,0.71,"-33°23'56.4""","-71°8'13.2"""
339,13504,maría pinto,,melipilla,metropolitana de santiago,3935.0,14926,37.8,0.698,"-33°30'54""","-71°7'8.4"""
340,13505,san pedro,,melipilla,metropolitana de santiago,788.0,11953,15.1,0.701,"-33°53'60""","-71°28'1.2"""
341,13601,talagante,,talagante,metropolitana de santiago,126.0,81838,649.5,0.749,"-33°40'1.2""","-70°55'51.6"""
342,13602,el monte,,talagante,metropolitana de santiago,118.0,40014,339.1,0.688,"-33°41'2.4""","-71°1'1.2"""
343,13603,isla de maipo,,talagante,metropolitana de santiago,189.0,40171,212.5,0.724,"-33°45'14.4""","-70°53'9.6"""
344,13604,padre hurtado,,talagante,metropolitana de santiago,808.0,74188,915.9,0.728,"-33°34'33.6""","-70°47'60"""
345,13605,peñaflor,,talagante,metropolitana de santiago,69.0,101058,1.464.6,0.753,"-33°36'22.6""","-70°52'35.48"""
