,0,1,2,3,4,5
175,$550.000,95 m² útiles,3 dormitorios,"villa cumbres blancas a pasos de municipalidad de colina, centro de colina, colina",,
176,$700.000,142 m² útiles,3 dormitorios,"avenida alcalde josé luis infante larraín 1482, ciudad satélite, maipú",,
177,$1.000.000,140 m² útiles,3 dormitorios,"la escuela / sector terminal metrobus, el principal, pirque",,
178,$580.000,99 m² útiles,3 dormitorios,"diego dublé urrutia 4065, villa macul, macul",,
179,$700.000,90 m² útiles,3 dormitorios,"casa amplia excelente ubicación, pepe vila, la reina",,
180,$600.000,90 m² útiles,3 dormitorios,"calle laguna del inca, nueva san martín, maipú",,
181,$1.600.000,287 m² útiles,3 dormitorios,"nocedal / john jackson, metro príncipe de gales - country club, la reina",,
182,$450.000,58 m² útiles,3 dormitorios,"villa el pangue - puente alto, bajos de mena, puente alto",,
183,$1.300.000,160 m² útiles,3 dormitorios,"jorge vi, entre del inca y martin de zamora, metro escuela militar, las condes",,casa en arriendo de 3 dorm. en las condes
184,$950.000,71 m² útiles,3 dormitorios,"froilan roa / paso el roble, plaza vespucio, la florida",,
185,$700.000,142 m² útiles,3 dormitorios,"avenida alcalde josé luis infante larraín 1482, ciudad satélite, maipú",,
186,$420.000,60 m² útiles,3 dormitorios,"barrio villaseca 4, villaseca, buin",,
187,$550.000,"4,500 m² útiles",3 dormitorios,"cuatro poniente, nueva san martín, maipú",,casa en arriendo de 3 dorm. en maipú
188,$450.000,56 m² útiles,3 dormitorios,"villaseca, villaseca, buin",,casa en arriendo de 3 dorm. en buín
189,$350.000,100 m² útiles,3 dormitorios,"caleu 00, caleu, tiltil",,
190,$1.300.000,220 m² útiles,3 dormitorios,"liray, chicureo, colina",,
191,$600.000,100 m² útiles,3 dormitorios,"lucas pacheco / larraín, centro de talagante, talagante",,
192,$650.000,73 m² útiles,3 dormitorios,"metro agricola / marathon, metro carlos valdovinos, macul",,
193,$600.000,82 m² útiles,3 dormitorios,"claudia arrau, barrancas, pudahuel",,casa en arriendo de 3 dorm. en pudahuel
194,$700.000,120 m² útiles,3 dormitorios,"ciudad de los valles, ciudad de los valles, pudahuel",,
195,$850.000,100 m² útiles,3 dormitorios,"campoamor/ chile españa, plaza ñuñoa, ñuñoa",,
196,$430.000,59 m² útiles,3 dormitorios,"arrienda acogedora casa,calle alerce andino con av. miraflores, peñaflor, peñaflor",,casa en arriendo de 3 dorm. en peñaflor
197,$590.000,83 m² útiles,3 dormitorios,"santa rosa, batuco, lampa, batuco, lampa",,
198,$650.000,64 m² útiles,3 dormitorios,"avenida macul/rodrigo de araya., macul",,casa en arriendo de 3 dorm. en macul
199,$395.000,57 m² útiles,3 dormitorios,"nonato coo / diego portales, los quillayes, la florida",,casa en arriendo de 3 dorm. en puente alto
200,$550.000,90 m² útiles,3 dormitorios,"los paltos oriente 1903, nos, san bernardo",,
201,$430.000,62 m² útiles,3 dormitorios,"av. alfredo silva carvallo, maipú",,casa en arriendo de 3 dorm. en maipú
202,$550.000,46 m² útiles,3 dormitorios,"la reforma 815, el rosal, maipú",,casa en arriendo de 3 dorm. en maipú
203,"uf26,50",120 m² útiles,3 dormitorios,"(adm) leonidas vial 1109, lo vial, san miguel",,
204,$560.000,120 m² útiles,3 dormitorios,"los corrales 1366, colina",,
205,$340.000,70 m² útiles,3 dormitorios,"samuel santana 355, talagante",,
206,$450.000,59 m² útiles,3 dormitorios,"camino buin maipo / balmaceda, buin",,casa en arriendo de 3 dorm. en buín
207,$500.000,70 m² útiles,3 dormitorios,"metro las torres y quilin, macul",,
208,$750.000,87 m² útiles,3 dormitorios,"las luciérnagas 5836, metro príncipe de gales - country club, la reina",,
209,uf21,84 m² útiles,3 dormitorios,"camino a san josé de maipo 5879 - casa 14, las vizcachas, puente alto",,
210,$390.000,92 m² útiles,3 dormitorios,"san vicente 411, meiggs, santiago",,
211,$400.000,54 m² útiles,3 dormitorios,"ramón venegas / el peñón, puente alto",,casa en arriendo de 3 dorm. en puente alto
212,$550.000,72 m² útiles,3 dormitorios,"palena / alicahue, la florida alto, la florida",,casa en arriendo de 3 dorm. en la florida
213,$1.250.000,133 m² útiles,3 dormitorios,"mar jónico, estadio croata, vitacura",,
214,$600.000,80 m² útiles,3 dormitorios,"calle obispo vasquez valencia, los cerrillos, cerrillos, chile, plaza oeste, cerrillos",,"calle obispo vasquez valencia, los cerrillos, cerrillos"
215,$350.000,60 m² útiles,3 dormitorios,"valle del limari, padre hurtado, chile, san ignacio, padre hurtado",,
216,$480.000,70 m² útiles,3 dormitorios,"antupiren 9401, penalolen, peñalolén, chile, comunidad ecológica, peñalolén",,
217,$480.000,140 m² útiles,3 dormitorios,"del caribe 0229, puente alto, chile, sótero del río, puente alto",,
218,$800.000,120 m² útiles,3 dormitorios,"alberto llona 868, maipú, santiago, chile, maipú",,
219,$750.000,120 m² útiles,3 dormitorios,"la montaña sur 4149, lampa, chile, valle grande, lampa",,
220,"uf34,50",80 m² útiles,3 dormitorios,"amapolas, providencia, región metropolitana, chile, las lilas, providencia",,
221,uf58,200 m² útiles,3 dormitorios,"república de cuba, providencia, chile, metro bilbao, providencia",,
222,$550.000,110 m² útiles,3 dormitorios,"los marineros 34, maipú, chile, nueva san martín, maipú",,
223,$450.000,80 m² útiles,3 dormitorios,"diego de meza 4821, san joaquín, chile, gozzoli - mussa, san joaquín",,
224,$480.000,89 m² útiles,3 dormitorios,"rosales 1600, penaflor, peñaflor, chile, centro de peñaflor, peñaflor",,
225,$1.280.000,120 m² útiles,3 dormitorios,"avenida pocuro 2994, providencia, chile, las lilas, providencia",,
226,$1.000.000,125 m² útiles,3 dormitorios,"carlos alvarado, las condes, chile, sebastián elcano, las condes",,
227,$1.280.000,120 m² útiles,3 dormitorios,"avenida pocuro 2994, providencia, chile, las lilas, providencia",,
228,$1.250.000,129 m² útiles,3 dormitorios,"miguel claro 1562, providencia, chile, inés de suárez, providencia",,
229,$600.000,100 m² útiles,3 dormitorios,"la cañada 7387, la reina, chile, palmas de mallorca, la reina",,
230,$800.000,110 m² útiles,3 dormitorios,"avenida san ignacio, san miguel, chile, el llano, san miguel",,
231,$590.000,100 m² útiles,3 dormitorios,"isabel la católica, la cisterna, chile, el parrón, la cisterna",,
232,$900.000,120 m² útiles,3 dormitorios,"clemente fabres, providencia, chile, barrio italia, providencia",,
233,$370.000,11 m² útiles,3 dormitorios,"cuadro verde 160, santiago, estación central, chile, metro pajaritos, estación central",,
234,$750.000,130 m² útiles,3 dormitorios,"pc1017-avenida eliodoro yáñez / esq. av. manuel montt, providencia, región metropolitana, chile, manuel montt, providencia",,pc1017-avenida eliodoro yáñez / esq. av. manuel montt
235,$700.000,90 m² útiles,3 dormitorios,"detective vicente bourquet, la reina, chile, pepe vila, la reina",,
236,$400.000,90 m² útiles,3 dormitorios,"nefertiti 966, maipú, chile, el abrazo, maipú",,
