0,1,2,3,4,5,6,7
2.754,uf,29 - 56 m² útiles,1 - 2 dormitorios,1 - 2 baños,"euclides 1211, el llano, san miguel",venta,departamentos
6.570,uf,87 - 145 m² útiles,3 dormitorios,2 - 3 baños,"avenida general bulnes 515, reñaca, reñaca, viña del mar",venta,departamentos
3.032,uf,27 - 65 m² útiles,1 - 2 dormitorios,1 - 2 baños,"irarrázaval 2366, metro ñuñoa, ñuñoa",venta,departamentos
3.330,uf,44 - 81 m² útiles,2 - 3 dormitorios,1 - 2 baños,"walker martínez 1620, la florida",venta,departamentos
14.490,uf,171 - 246 m² útiles,3 - 4 dormitorios,3 - 4 baños,"av josé rabat 12.000, piedra roja., chicureo, colina",venta,casas
26.200,uf,341 - 366 m² útiles,4 - 5 dormitorios,5 baños,"algarrobo 105, chicureo, colina",venta,casas
29.250,uf,234 - 285 m² útiles,5 dormitorios,5 baños,"álvaro casanova 1231, la reina alta, la reina",venta,casas
17.456,uf,188 m² útiles,3 dormitorios,3 baños,"av. padre sergio correa 11300, chicureo, chicureo, colina",venta,casas
13.013,uf,139 - 157 m² útiles,3 dormitorios,3 baños,"av. josé rabat 9620, piedra roja, chicureo, colina",venta,casas
8.450,uf,121 - 139 m² útiles,3 dormitorios,3 - 4 baños,"av. santa elena 2230, chicureo, colina",venta,casas
15.990,uf,222 - 262 m² útiles,3 dormitorios,4 baños,"roberto peragallo 5692, sebastián elcano, las condes",venta,casas
2.890,uf,52 m² útiles,3 dormitorios,1 baño,"bajos de santa cruz 1131, padre hurtado",venta,casas
10.980,uf,145 - 189 m² útiles,4 dormitorios,4 baños,"av. chamisero 16663, chicureo, colina",venta,casas
2.506,uf,50 - 72 m² útiles,3 dormitorios,1 - 2 baños,"fernando ochagavía 2220, talagante",venta,casas
3.603,uf,68 - 98 m² útiles,3 dormitorios,2 - 3 baños,"san carlos norte 02128, puente alto",venta,casas
15.312,uf,136 - 189 m² útiles,4 dormitorios,4 baños,"francisco bulnes correa 3640, san carlos de apoquindo, las condes",venta,casas
4.346,uf,69 - 134 m² útiles,3 - 4 dormitorios,3 baños,"av. concha y toro paradero 35 1/2, las mercedes, puente alto",venta,casas
3.410,uf,56 - 75 m² útiles,3 - 4 dormitorios,1 - 2 baños,"maipú  898, centro de buin, buin",venta,casas
3.284,uf,54 - 66 m² útiles,2 - 3 dormitorios,1 - 2 baños,"av. los suspiros 16.561, la maestranza, san bernardo",venta,casas
2.336,uf,50 - 72 m² útiles,3 dormitorios,1 - 2 baños,"av. valparaíso 1804, centro de quillota, quillota",venta,casas
5.775,uf,78 - 117 m² útiles,3 dormitorios,3 baños,"camino longitudinal ruta 5 sur 3020 lta-2, buin",venta,casas
40.500,uf,397 m² útiles,3 dormitorios,4 baños,"panorámica sur 12.290, la dehesa, lo barnechea",venta,casas
4.473,uf,84 - 93 m² útiles,3 dormitorios,3 baños,"av. san ignacio 500, laguna del sol, padre hurtado",venta,casas
4.479,uf,75 - 90 m² útiles,3 dormitorios,3 baños,"av. santa herminia esquina el muelle, padre hurtado",venta,casas
9.007,uf,119 - 140 m² útiles,3 dormitorios,3 - 4 baños,"santa elena 200, chicureo, colina",venta,casas
19.990,uf,276 - 294 m² útiles,3 dormitorios,3 baños,"camino del oficio 2981, los trapenses, lo barnechea",venta,casas
2.826,uf,72 m² útiles,3 dormitorios,2 baños,"av. la florida 268, centro de san esteban, san esteban",venta,casas
7.207,uf,112 - 142 m² útiles,3 - 4 dormitorios,3 baños,"ruta general san martín, km. 16,8, chicureo, colina",venta,casas
4.515,uf,81 - 88 m² útiles,3 dormitorios,3 baños,"av. circunvalación sur km.13 (ex camino a paillao), valdivia",venta,casas
8.900,uf,183 m² útiles,4 dormitorios,4 baños,"juan de dios vial correa 4310, las pircas, peñalolén",venta,casas
7.540,uf,115 - 136 m² útiles,3 dormitorios,3 baños,"caletera oriente general san martín km 17, chicureo, colina",venta,casas
3.430,uf,75 - 81 m² útiles,3 dormitorios,3 baños,"luis durand 05650, el carmen, temuco",venta,casas
3.950,uf,96 m² útiles,4 dormitorios,3 baños,"río claro 2219, valle grande, lampa",venta,casas
12.384,uf,145 - 179 m² útiles,3 - 4 dormitorios,3 - 4 baños,"av. josé rabat 9960, chicureo, colina",venta,casas
6.456,uf,105 - 117 m² útiles,3 dormitorios,3 baños,"av. laguna altura 3600, padre hurtado",venta,casas
4.599,uf,88 - 101 m² útiles,3 dormitorios,3 baños,"o'higgins s/n, quilicura",venta,casas
4.510,uf,84 - 103 m² útiles,2 - 3 dormitorios,2 - 3 baños,"av. la montaña 3650, valle grande, lampa",venta,casas
2.300,uf,57 - 77 m² útiles,2 - 3 dormitorios,2 baños,"santa rosa s/n, salamanca",venta,casas
5.031,uf,79 - 86 m² útiles,3 dormitorios,2 - 3 baños,"camino el arpa 1480, buin",venta,casas
9.500,uf,125 - 145 m² útiles,3 - 4 dormitorios,4 baños,"plazoleta tres 5163, peñalolén",venta,casas
