0,1,2,3,4,5,6,7
3.066,uf,28 - 35 m² útiles,1 baño,"av. consistorial 5791, quilín - cousiño macul, peñalolén",venta,oficinas,
2.990,uf,26 m² útiles,1 privado,1 baño,"puerta del sol 76, metro escuela militar, las condes",venta,oficinas
3.142,uf,27 - 32 m² útiles,1 - 2 privados,1 baño,"avenida francisco bilbao 2540, campus oriente, providencia",venta,oficinas
5.000,uf,54 m² útiles,"lota - providencia, providencia",venta,oficinas,,
31.451,uf,701 m² útiles,"valenzuela castillo 1063, manuel montt, providencia",venta,oficinas,,
17.070,uf,320 m² útiles,"av. del valle norte n 750 oficina 301, ciudad empresarial, huechuraba",venta,oficinas,,
23.950,uf,365 m² útiles,"bilbao/ amapolas / metro bilbao, providencia",venta,oficinas,,
6.201,uf,92 m² útiles,"videla / frente hospital de coquimbo, coquimbo",venta,oficinas,,
29.500,uf,373 m² útiles,"luis thayer ojeda / pio x, providencia",venta,oficinas,,
4.000,uf,43 m² útiles,2 dormitorios,"av. luis thayer ojeda 0191 oficina 1303, metro tobalaba - mall costanera, providencia",venta,oficinas,
5.857,uf,144 m² útiles,"las heras 189, temuco, centro de temuco, temuco",venta,oficinas,,
12.500,uf,240 m² útiles,"huerfanos / ahumada, centro histórico de santiago, santiago",venta,oficinas,,
4.250,uf,250 m² útiles,"avenida manso de velasco 1 - 300, curicó, chile, españa, curicó",venta,locales,,
22.000,uf,851 m² útiles,"almirante riveros 323, valparaíso, chile, cerro artilleria - arrayan, valparaíso",venta,locales,,
23.950,uf,365 m² útiles,"bilbao / amapolas, providencia",venta,locales,,
29.500,uf,373 m² útiles,"luis thayer ojeda / pio x, providencia",venta,locales,,
850.000.000,$,"1,448 m² útiles","darío pavez 1 - 300, paine, región metropolitana, chile, hospital - champa, paine",venta,locales,,
54.000,uf,"1,967 m² útiles",29 dormitorios,"huasco 143, puerto montt",venta,locales,
25.000.000,$,45 m² útiles,"valentina leppe 9600 - 9900, la florida, chile, trinidad, la florida",venta,locales,,
6.903,uf,137 m² útiles,"miguel lemeur 164, tierra amarilla",venta,locales,,
650.000.000,$,116 m² útiles,"hernando de aguirre / providencia / metro tobalaba, providencia",venta,locales,,
28.000,uf,282 m² útiles,"las hualtatas 8410, vitacura, chile, estadio croata, vitacura",venta,locales,,
12.000.000,$,8 m² útiles,"av. consistorial 2100, penalolen, peñalolén, región metropolitana, chile, villa san carlos, peñalolén",venta,locales,,
7.600,uf,187 m² útiles,"avenida río loco 0479, rancagua, chile, san damián, rancagua",venta,locales,,
60.000,uf,680 m² útiles,"nueva tajamar 499, las condes, providencia, chile, centro financiero, las condes",venta,locales,,
1,uf,100 m² útiles,"av. balmaceda 365, la serena, chile, centro de la serena, la serena",venta,locales,,
21.900,uf,313 m² útiles,"mariano sánchez fontecilla 1988, penalolen, peñalolén, región metropolitana, chile, villa san carlos, peñalolén",venta,locales,,
200.000.000,$,200 m² útiles,"av. vitacura 5480, pío xi, vitacura",venta,locales,,
2.820,uf,772 m² totales,"antonio nuñez de fonseca 2575, lote 5 a, centro de san antonio, san antonio",venta,locales,,
18.500,uf,100 m² útiles,"rosas 1665, santiago, región metropolitana, chile, barrio brasil, santiago",venta,locales,,
900,uf,40 m² útiles,"camino el alba 8792, las condes, chile, los dominicos, las condes",venta,locales,,
35.000.000,$,138 m² útiles,"mariano sánchez fontecilla, penalolen, peñalolén, chile, quilín - cousiño macul, peñalolén",venta,locales,,
25.000.000,$,60 m² útiles,"avenida providencia 1144, providencia, chile, manuel montt, providencia",venta,locales,,
1.600,uf,90 m² útiles,"san antonio 300 - 600, santiago, chile, centro histórico de santiago, santiago",venta,locales,,
25.000.000,$,22 m² útiles,"av. manuel montt 092, providencia, región metropolitana, chile, manuel montt, providencia",venta,locales,,
40.000.000,$,80 m² útiles,"av. pedro de valdivia 628, providencia, chile, pedro de valdivia, providencia",venta,locales,,
55.000.000,$,265 m² útiles,"bellavista 740, viña del mar, chile, reñaca, viña del mar",venta,locales,,
17.000.000,$,20 m² útiles,"nazario chacón zamora 7495, la florida, chile, la florida alto, la florida",venta,locales,,
27.500,uf,305 m² útiles,"avenida italia 913, providencia, chile, barrio italia, providencia",venta,locales,,
7.778,uf,80 m² útiles,"moderno local en venta los leones, 80 m2, campus oriente, providencia",venta,locales,,
45.000,uf,"1,699 m² útiles","monjitas 879, centro histórico de santiago, santiago",venta,locales,,
7.000,uf,276 m² útiles,"salvador gutierrez con santiago del estero, quinta normal",venta,locales,,
22.500,uf,314 m² útiles,"simón bolívar 5218, ñuñoa, chile, metro simón bolivar, ñuñoa",venta,locales,,
25.000.000,$,180 m² útiles,"vendo derecho de llaves restaurant comida china/metro parque o´higgins/av. matta, santiago",venta,locales,,
10.700,uf,362 m² útiles,"aldunate con balmaceda, coquimbo",venta,locales,,
490.000.000,$,481 m² útiles,"enrique olivares / av. méxico, rojas magallanes, la florida",venta,locales,,
15.000.000,$,35 m² útiles,"av. holanda, providencia, chile, las lilas, providencia",venta,locales,,
73.700,uf,693 m² útiles,"avenida providencia, providencia, chile, manuel montt, providencia",venta,locales,,
120.000.000,$,200 m² útiles,"príncipe de gales sn, metro príncipe de gales - country club, la reina",venta,locales,,
4.875,uf,172 m² útiles,"general baquedano 1154, santiago, chile, parque los reyes, santiago",venta,locales,,
29.000,uf,305 m² útiles,"roger de flor 2969, las condes, chile, barrio el golf, las condes",venta,locales,,
12.900,uf,91 m² útiles,"tobalaba sn, quilín - cousiño macul, peñalolén",venta,locales,,
160,uf,162 m² útiles,"los militares 5953, las condes, chile, metro manquehue - apumanque, las condes",venta,locales,,
45.000.000,$,200 m² útiles,"general del canto 36, providencia, chile, manuel montt, providencia",venta,locales,,
68.000,uf,524 m² útiles,"avenida libertador bernardo o'higgins 600 - 900, santiago, chile, santiago",venta,locales,,
90.000.000,$,220 m² útiles,"navarrete 1285, providencia, región metropolitana, chile, inés de suárez, providencia",venta,locales,,
57.000,uf,"1,209 m² útiles","arturo prat 661, plaza de armas de san bernardo, san bernardo",venta,locales,,
30.000,uf,442 m² útiles,"lord cochrane 715, parque almagro, santiago",venta,locales,,
9.600,uf,690 m² útiles,"avenida 5 de abril 5700 - 6000, santiago, estación central, chile, metro pajaritos, estación central",venta,locales,,
13.900,uf,220 m² útiles,"nataniel cox 300 - 600, santiago, chile, parque almagro, santiago",venta,locales,,
3.964,uf,102 m² útiles,"estadio germán becker, temuco",venta,locales,,
159.000.000,$,42 m² útiles,"avenida nueva providencia 2212, providencia, chile, los leones, providencia",venta,locales,,
36.000,uf,"2,456 m² totales","simón bolívar,, la reina",venta,terrenos,,
55.000.000,$,"5,000 m² totales","s-553, nueva pomerania, villarrica, araucanía, chile, villarrica",venta,terrenos,,
54.990.000,$,"20,000 m² totales","casablanca, chile, ciudad de casablanca, casablanca",venta,terrenos,,
2.275,uf,200 m² totales,"irene frei, villa alemana, chile, estación las américas, villa alemana",venta,terrenos,,
4.716,uf,377 m² totales,"andalué, san pedro de la paz, chile, andalué, san pedro de la paz",venta,terrenos,,
2.250,uf,"1,000 ha totales","el tebo, puchuncavi, puchuncaví, chile, horcón, puchuncaví",venta,terrenos,,
58.740,uf,577 m² útiles,"fundo san juan de viluco, lotes 1, 2, 3 y 4, paine",venta,terrenos,,
497,uf,"5,000 m² totales","chiloé, ancud, chile, ancud",venta,terrenos,,
6.100,uf,"1,057 m² totales","el amanecer, peñuelas, coquimbo",venta,terrenos,,
74.600,uf,"1,050,000 m² totales","nontuela, futrono, chile, futrono",venta,terrenos,,
18.383,uf,"5,570 m² totales","c. esmeralda 22, marga marga, olmué 2330040, valparaíso, chile, centro de olmué, olmué",venta,terrenos,,
55.000.000,$,"8,116 m² totales","la aurora, curacaví, chile, curacaví",venta,terrenos,,
4.700,uf,"5,000 m² totales","ruta d-705, lote 3 a-2, san juan, coquimbo",venta,terrenos,,
29.700,uf,"1,583 m² totales","terreno golf lomas de la dehesa, la dehesa, lo barnechea",venta,terrenos,,
3.200,uf,500 m² totales,"ramón subercaseaux 900 - 1200, pirque, chile, pirque",venta,terrenos,,
23.085,uf,"8,550 m² totales","camino santa rosa  s/n parcela 6, chicureo, colina",venta,terrenos,,
10.668,uf,"1,524 m² totales","calafquén 66, viña del mar, valparaíso, chile, reñaca, viña del mar",venta,terrenos,,
956,uf,240 m² totales,"g-98-f 7800, las cruces, el tabo, valparaíso, chile, las cruces, el tabo",venta,terrenos,,
3.290,uf,"11,000 m² totales","camino hacienda chacabuco, casas de chacabuco, colina, chile, casas de chacabuco, colina",venta,terrenos,,
24.000.000,$,"5,000 m² totales","356x+fw lipingue, los lagos, chile, los lagos",venta,terrenos,,
2.100,uf,"r2q8+hw frutillar, chile, frutillar",venta,terrenos,,,
14.500,uf,"1,391 m² totales","camino gran vista 4407, lo barnechea, chile, los trapenses, lo barnechea",venta,terrenos,,
20.900,uf,"1,838 m² totales","valle escondido / sector la isla, lo barnechea",venta,terrenos,,
29.100,uf,"1,878 m² totales","pasaje josé joaquín pérez 6496, santiago, cerro navia, chile, cerro navia",venta,terrenos,,
13.320,uf,488 m² totales,"las perlas 1425, viña del mar, chile, reñaca, viña del mar",venta,terrenos,,
8.865,uf,68 m² totales,"hijuela santa josefina, lote b, ercilla, ercilla",venta,terrenos,,
4.436,uf,"5,000 m² totales","cam. los corrales 4844, padre hurtado, región metropolitana, chile, padre hurtado",venta,terrenos,,
8.566,uf,"1,822 m² totales","parque industrial coronel, coronel",venta,terrenos,,
6.800,uf,"1,634 m² totales","zapallar, chile, centro de zapallar, zapallar",venta,terrenos,,
585,uf,500 m² totales,"puchuncavi, puchuncaví, chile, centro de puchuncaví, puchuncaví",venta,terrenos,,
31.000,uf,"8,600 m² totales","manio 1270, villa alemana, valparaíso, chile, barrio norte, villa alemana",venta,terrenos,,
8.404,uf,"2,454 m² útiles","lote a-4 santa adela sur, teno, teno",venta,terrenos,,
1.525,uf,"50,000 m² totales","qp7m+cj la ligua, chile, la ligua",venta,terrenos,,
3.000,uf,"5,000 m² totales","haras de pirque, pirque, chile, alcalde hernán prieto, pirque",venta,terrenos,,
30.000,uf,"30,000 m² totales","calafquén 17, viña del mar, valparaíso, chile, reñaca, viña del mar",venta,terrenos,,
10.000,uf,"5,000 m² totales","undécima avenida 1810, lote b, placilla, valparaíso, chile, valparaíso",venta,terrenos,,
40.000.000,$,"5,000 m² totales","l-45, llepu, linares, maule, chile, linares",venta,terrenos,,
43.000.000,$,"5,300 m² totales","s-553, el pastal, villarrica, chile, villarrica",venta,terrenos,,
270.270,uf,"6,930 m² totales","jose alcalde delano 10557, santiago, lo barnechea 7690324, región metropolitana, chile, la dehesa, lo barnechea",venta,terrenos,,
95.000.000,$,"5,000 m² totales","ruta 43, coquimbo, chile, coquimbo",venta,terrenos,,
12.150,uf,"3,800 m² totales","o'higgins 17, putaendo, chile, putaendo",venta,terrenos,,
1.500,uf,"5,000 m² totales","chicureo, colina, chile, chicureo, colina",venta,terrenos,,
15.990.000,$,"5,000 ha totales","pg5f+mc fresia, chile, fresia",venta,terrenos,,
1.500,uf,"5,230 m² totales","f6w2+xm lanco, chile, lanco",venta,terrenos,,
480.000.000,$,8 m² totales,"rilan, castro, chile, castro",venta,terrenos,,
216.000,uf,7 ha totales,"camino de cintura 1155, huechuraba, chile, pedro fontova, huechuraba",venta,terrenos,,
1.200.000.000,$,"200,000 m² totales","putemun, castro, chile, castro",venta,terrenos,,
183.600,uf,10 ha totales,"camino a villaseca, buin, región metropolitana, chile, linderos, buin",venta,terrenos,,
25.000.000,$,"5,000 m² totales","38m3+2r melipeuco, chile, melipeuco",venta,terrenos,,
350.000.000,$,"923,000 m² totales","ralún, cochamo, chile, puerto varas",venta,terrenos,,
250.000,uf,"10,500 m² útiles","lo espejo / autopista central, san bernardo",venta,industriales,,
12.399,uf,"3,064 m² útiles","lote 3 -b estancia cruz de cañas, coquimbo",venta,industriales,,
180.000,uf,"10,900 m² totales","enea / boulevard aeropuerto, enea, pudahuel",venta,industriales,,
16.985,uf,753 m² útiles,"capitan orella 53, lorenzo arenas, concepción",venta,industriales,,
21.802,uf,778 m² útiles,"uruguay 730, sitio uno-b, mz 37, centro de antofagasta, antofagasta",venta,industriales,,
19.601,uf,"1,409 m² útiles","parcela 67 san dionisio, colbún, colbún",venta,industriales,,
16.000,uf,"16,000 m² útiles","cerro los cóndores, quilicura, chile, parque industrial buenaventura, quilicura",venta,industriales,,
1.450.000.000,$,"1,200 m² útiles","abate molina 40, barrio república, santiago",venta,industriales,,
47.000,uf,"1,400 m² útiles","gran avenida jose miguel carrera 9600, el bosque, chile, alejandro guzmán, el bosque",venta,industriales,,
350.000.000,$,260 m² totales,"local industrial lira/porvenir, santiago",venta,industriales,,
24.801,uf,300 m² útiles,"avenida antonio rendic 6900 - 7200, antofagasta, chile, hospital regional, antofagasta",venta,industriales,,
14.000,uf,400 m² útiles,"avenida antonio rendic 6054, antofagasta, chile, hospital regional, antofagasta",venta,industriales,,
77.000,uf,"35,000 m² totales","(tin) camino noviciado s / n, el noviciado, pudahuel",venta,industriales,,
79.266,uf,"12,582 m² totales","(tin) avenida miraflores 9100, el montijo, renca",venta,industriales,,
198.000,uf,"3,610 m² útiles","til til 2400 - 2700, macul, región metropolitana, chile, metro rodrigo de araya, macul",venta,industriales,,
39.000,uf,"5,000 m² útiles","cordillera, pudahuel, chile, quilicura",venta,industriales,,
129.200,uf,"34,000 m² útiles","cerro sombrero, maipú, san bernardo, chile, zona industrial de maipú, maipú",venta,industriales,,
300.000.000,$,650 m² totales,"ignacio echeverría, el parrón, la cisterna",venta,industriales,,
7.500,uf,400 m² útiles,"local industrial ubicado en antofagasta, a dos cuadras de general velásquez, estación central",venta,industriales,,
35,uf,"1,850 m² útiles","serrano - 10 de julio, metro pudahuel, pudahuel",venta,industriales,,
105.000.000,$,500 m² totales,"segunda del sur 880, valparaíso",venta,industriales,,
7.405,uf,250 m² útiles,"metro pedrero / casa esquina - vicuña mackenna, pedrero - estadio monumental, macul",venta,industriales,,
230.000,uf,"13,355 m² útiles",buin,venta,industriales,,
5.890,uf,322 m² útiles,"obispo umaña c/ antofagasta, estación central",venta,industriales,,
220.000,uf,"8,231 m² útiles","se vende edificio de oficinas y estacionamientos en pleno centro de concepción, concepción",venta,industriales,,
26.000,uf,"2,800 m² útiles","la aparición, paine",venta,industriales,,
320.000.000,$,320 m² útiles,"metro conchalí, estación conchalí, conchalí",venta,industriales,,
94.950,uf,"3,592 m² útiles","puerta sur, san bernardo",venta,industriales,,
980.000.000,$,"1,850 m² totales","vendo gran terreno industrial apto para fines inmobiliarios o comerciales, quinta normal",venta,industriales,,
8.070,uf,286 m² útiles,"plaza llico / piramide, san miguel",venta,industriales,,
27.800,uf,"1,077 m² útiles","chiloe, ciudad del niño, san miguel",venta,industriales,,
49.800,uf,289 m² útiles,"santa margarita, san bernardo, chile, las acacias - chena, san bernardo",venta,industriales,,
15.500,uf,854 m² totales,"andes de violeta parra-eduardo charme, quinta normal",venta,industriales,,
4.750,uf,"5,000 m² totales","ruta 5, panamericana sur, puerto montt",venta,industriales,,
262.432,uf,"22,000,000 m² totales","se vende terreno parque energético cerca ovalle, ovalle",venta,industriales,,
120.000,uf,"8,276 m² útiles","aeropuerto 600 - 900, quilicura, región metropolitana, chile, quilicura",venta,industriales,,
300.000.000,$,"1,030 m² totales","tierras rojas, quilpué, belloto sur, quilpué",venta,industriales,,
12.000,uf,"1,500 m² totales","philippi, cerro placeres, valparaíso",venta,industriales,,
68.200,uf,"2,471 m² útiles","carretera san martin/ los libertadores, chicureo, colina",venta,industriales,,
11.800,uf,570 m² útiles,lampa,venta,industriales,,
57.490,uf,"bellavista 291, teno",venta,industriales,,,
157.398,uf,"30,000,000 m² totales","se ubica a 57 km al este de la comuna de monte patria, monte patria",venta,industriales,,
18.000,uf,720 m² útiles,"3fpx+w8 quintero, chile, quintero",venta,industriales,,
315.000.000,$,253 m² útiles,4 dormitorios,"metro quilín, macul",venta,industriales,
19.300,uf,604 m² útiles,"san pablo con matucana, santiago",venta,industriales,,
14.500,uf,558 m² totales,"sector av. santa rosa, san miguel",venta,industriales,,
109.769,uf,"3,286 m² útiles","camino a melipilla / cerro sombrero, maipú",venta,industriales,,
106.763,uf,"2,444 m² útiles","camino a melipilla / cerro sombrero, maipú",venta,industriales,,
33.000,uf,550 m² útiles,"j2w7+pc puerto varas, chile, puerto varas",venta,industriales,,
31.000,uf,"1,000 m² útiles","sector cacique colín, lampa",venta,industriales,,
59.500.000,$,1 ha totales,2 dormitorios,"huaquén sn, los molles, la ligua",venta,agrícolas,
360.000.000,$,39 ha totales,5 dormitorios,"p8f8+r8 los muermos, chile, los muermos",venta,agrícolas,
114.880,uf,14 ha totales,7 dormitorios,"p7x2+57 colina, chile, chicureo, colina",venta,agrícolas,
19.770,uf,10 ha totales,5 dormitorios,"pumaiten , santa teresa parcela 23, san vicente",venta,agrícolas,
90.413,uf,"casma, frutillar",venta,agrícolas,,,
18.730,uf,11 ha totales,3 dormitorios,"lo vicuña interior 3, putaendo, valparaíso, chile, putaendo",venta,agrícolas,
990,uf,"10,000 m² totales",el tabo,venta,agrícolas,,
42.858,uf,"venta parcela agrícola 17 has suelos ri y rii, champa, paine, hospital - champa, paine",venta,agrícolas,,,
60.000.000,$,"21,100 m² totales","camino a millapoa, nacimiento",venta,agrícolas,,
38.241.500,$,"5,000 m² totales",1 dormitorio,"parcelas 15 min puerto varas -15% descuento últimas unidades, puerto varas",venta,agrícolas,
29.900.000,$,"5,000 m² totales",1 dormitorio,"parcela en venta en llanquihue, llanquihue",venta,agrícolas,
38.500.000,$,"5,000 m² totales",1 dormitorio,"parcelas en frutillar, frutillar",venta,agrícolas,
60.000.000,$,"5,000 m² totales","pichilafquen, villarrica",venta,agrícolas,,
31.992.000,$,"5,000 m² totales",1 dormitorio,"parcela puerto varas 15 minutos, puerto varas",venta,agrícolas,
17.000,uf,"82,500 m² totales","juan antonio rios, paine",venta,agrícolas,,
17.500,uf,"350,000 m² totales","t-65, paillaco",venta,agrícolas,,
10.000,uf,"1,386 m² totales",4 dormitorios,"camino al volcan / la obra, san josé de maipo",venta,agrícolas,
10.490,uf,"5,492 m² totales",3 dormitorios,"hermosa parcela la cruz 3d-3b, sector pocochay, la cruz",venta,agrícolas,
30.000,uf,"1,500 m² totales",20 dormitorios,"10 cabañas funcionando 1,54 ha acceso playa y hermosa vista mar llau llao castro., castro",venta,agrícolas,
73.143,uf,"115,000 m² totales","lo gamboa s/n, castro",venta,agrícolas,,
570.000.000,$,"7,006 m² totales","vendo gran parcela uso comercial u habitacional ideal para hacer loteos inmobiliario, mostazal",venta,agrícolas,,
50.000.000,$,"20,000 m² totales","parcelas exclusivas - puente el pangue - colliguay, quilpué",venta,agrícolas,,
27.000,uf,"20,000 m² totales",5 dormitorios,"camino la punta, mostazal",venta,agrícolas,
4.100,uf,"7,000 m² totales",2 dormitorios,"parcela en acuelo, paine",venta,agrícolas,
340.000.000,$,"430,000 m² totales","santa carla, los lagos",venta,agrícolas,,
1.740,uf,"50,000,000 m² útiles","coihueco, nogales - san eugenio, estación central",venta,agrícolas,,
3.000,uf,"el olivo hijuela 3, camino a nacimiento km 22, nacimiento, nacimiento",venta,agrícolas,,,
29.000.000,$,"5,000 m² totales","el arrayan costero, la serena, la serena",venta,agrícolas,,
41.000,uf,10 ha totales,7 dormitorios,"manao, ancud",venta,agrícolas,
510.000.000,$,"chaitén, los lagos, chaitén",venta,agrícolas,,,
350.000.000,$,"2,000,000 m² útiles",8 dormitorios,"san josé, algarrobo, el canelo, algarrobo",venta,agrícolas,
230.000.000,$,"1,608 m² totales",4 dormitorios,"31 sur, la florida, talca",venta,agrícolas,
39.990.000,$,"5,000 m² totales",1 dormitorio,"nuevas parcelas a 15 minutos de puerto varas, puerto varas",venta,agrícolas,
30.900.000,$,"5,000 m² totales",1 dormitorio,"parcela en venta en llanquihue lanzamiento, llanquihue",venta,agrícolas,
38.000.000,$,"5,000 m² totales",1 dormitorio,"parcela en venta en huife-pucón, pucón",venta,agrícolas,
71.991.000,$,"5,000 m² totales",1 dormitorio,"parcelas villarrica a 5 minutos del centro, villarrica",venta,agrícolas,
518.500.000,$,"61,000 m² totales","las peñas - ruta 5 - e436, llaillay",venta,agrícolas,,
60.000.000,$,"5,000 m² totales","161.869 - venta sitio agricola parcela - 5000mts, los ángeles",venta,agrícolas,,
220.000.000,$,"110,000 m² totales","-35.432159, -71.151192, san clemente",venta,agrícolas,,
19.990.000,$,"5,000 m² totales","el chequen, marchihue",venta,agrícolas,,
4.240.278.000,$,"2,355 m² totales",tucapel,venta,agrícolas,,
3.311,uf,"punta de lobos, pichilemu",venta,agrícolas,,,
105.000.000,$,"5,100 m² totales",4 dormitorios,"casa  en parcela a 35 minutos de concepción, florida",venta,agrícolas,
12.500,uf,3 ha totales,3 dormitorios,"santa monica / padre hurtado, padre hurtado",venta,agrícolas,
1.832.600.000,$,"490,000 m² totales","avenida los sauces/camino lilahue, san nicolás",venta,agrícolas,,
38.837,uf,4 ha totales,"camino licanray a panguipulli, lican ray, villarrica",venta,agrícolas,,
2.700,uf,"5,000 m² totales","lago caburga, pucon, pucón",venta,agrícolas,,
26.160,uf,"21,000 m² útiles","ruta 5 / av gral baquedano / san eugenio, paine",venta,agrícolas,,
6.679,uf,9 ha totales,"río claro, chile, río claro",venta,agrícolas,,
25.000.000,$,1 ha totales,"hacienda la hijuela. lote b y c. sector caone sn, curicó poniente, curicó",venta,agrícolas,,
250.000,uf,"38,000 m² totales","lo espejo / autopista central, san bernardo",venta,bodegas,,
10.786,uf,354 m² útiles,"italia 2313, puerto montt, chile, techo para todos, puerto montt",venta,bodegas,,
25.000,uf,420 m² útiles,"pasaje ossa 573, santiago, la cisterna, chile, metro la cisterna, la cisterna",venta,bodegas,,
120.000,uf,"3,432 m² útiles","lincoyán, quilicura, chile, parque industrial buenaventura, quilicura",venta,bodegas,,
250.000,uf,"10,000 m² útiles","lo espejo, san bernardo, chile, lo espejo",venta,bodegas,,
22.000,uf,660 m² útiles,"san martín 1 - 300, rancagua, chile, centro de rancagua, rancagua",venta,bodegas,,
120.000,uf,"5,200 m² útiles","aeropuerto, quilicura, chile, quilicura",venta,bodegas,,
75.000,uf,"1,350 m² útiles","los libertadores, colina, chile, chicureo, colina",venta,bodegas,,
2.700.000,$,3 m² útiles,"álvarez 1822, viña del mar, chile, viña del mar",venta,bodegas,,
185.000.000,$,180 m² útiles,"cerro blanco, recoleta",venta,bodegas,,
35.000,uf,"1,270 m² útiles","camino lo boza 300 - 600, pudahuel, chile, aeropuerto arturo merino benitez, pudahuel",venta,bodegas,,
35.000,uf,"1,270 m² útiles","camino lo boza 300 - 600, pudahuel, chile, aeropuerto arturo merino benitez, pudahuel",venta,bodegas,,
7.500,uf,400 m² útiles,"local industrial ubicado en antofagasta, a dos cuadras de general velásquez, estación central",venta,bodegas,,
103.000,uf,"4,068 m² útiles","américo vespucio, quilicura",venta,bodegas,,
5.890,uf,322 m² útiles,"obispo umaña c/ antofagasta, estación central",venta,bodegas,,
48.000,uf,"2,459 m² útiles","pedro aguirre cerda, cerrillos",venta,bodegas,,
25.000,uf,255 m² útiles,"lo barnechea, el huinganal",venta,bodegas,,
94.950,uf,"3,592 m² útiles","puerta sur, san bernardo",venta,bodegas,,
230.000,uf,"13,355 m² útiles",buin,venta,bodegas,,
9.990,uf,282 m² útiles,"bodegas con oficina camino aeropuerto maquehue, temuco",venta,bodegas,,
16.200,uf,500 m² totales,"blanco encalada / republica, barrio república, santiago",venta,bodegas,,
1.843,uf,22 m² útiles,"estación de metro ines de suarez, providencia",venta,bodegas,,
22.850,uf,485 m² útiles,"avenida el ventisquero 900 - 1200, renca, chile, el montijo, renca",venta,bodegas,,
13.000,uf,320 m² útiles,"chiloé / maria auxiliadora, san miguel",venta,bodegas,,
11.800,uf,570 m² útiles,lampa,venta,bodegas,,
6.900,uf,527 m² útiles,"ruta 5 / buen retiro, pozo almonte",venta,bodegas,,
19.300,uf,604 m² útiles,"san pablo con matucana, parque los reyes, santiago",venta,bodegas,,
22.900,uf,796 m² útiles,5 dormitorios,"ubicacion logistica, bodega distribucion, club hípico, santiago",venta,bodegas,
1.600,uf,46 m² totales,"avenida la dehesa 181, puente nuevo, lo barnechea",venta,bodegas,,
106.763,uf,"2,444 m² útiles","camino a melipilla / cerro sombrero, maipú",venta,bodegas,,
109.769,uf,"3,286 m² útiles","camino a melipilla / cerro sombrero, zona industrial de maipú, maipú",venta,bodegas,,
22.000,uf,220 m² útiles,la reina,venta,bodegas,,
10.260,uf,270 m² útiles,"nuble // san francisco, santiago",venta,bodegas,,
31.000,uf,"1,000 m² útiles","sector cacique colín, lampa",venta,bodegas,,
39.900,uf,130 m² útiles,"161.636 - venta o arriendo bodega quilicura - panamericana nte/ las esteras sur - 130mts - 1.000mts terreno, parque industrial buenaventura, quilicura",venta,bodegas,,
16.270,uf,313 m² útiles,"centro de copiapó, copiapó",venta,bodegas,,
120.000,uf,"3,432 m² útiles","lincoyán / san ignacio, parque industrial buenaventura, quilicura",venta,bodegas,,
98.500.000,$,187 m² totales,"mariluan, metro pedro aguirre cerda, pedro aguirre cerda",venta,bodegas,,
270.000.000,$,458 m² útiles,"metro blanqueado, quinta normal",venta,bodegas,,
2.580,uf,65 m² útiles,"exposición, santiago, estación central, santiago, chile, santiago",venta,bodegas,,
175.086,uf,"7,290 m² útiles",santiago,venta,bodegas,,
49.772,uf,"1,920 m² útiles","las acacias - chena, san bernardo",venta,bodegas,,
7.000,uf,219 m² útiles,puente alto,venta,bodegas,,
49.990,uf,"1,140 m² útiles","ruta 5 / las acacias, san bernardo",venta,bodegas,,
6.530,uf,212 m² útiles,"nuble // san francisco, franklin - biobío, santiago",venta,bodegas,,
126.010,uf,"7,111 m² útiles","nogales - san eugenio, estación central",venta,bodegas,,
212.500,uf,"6,602 m² útiles","camino a melipilla / cerro sombrero, maipú",venta,bodegas,,
106.539,uf,"2,444 m² útiles",maipú,venta,bodegas,,
109.160,uf,"3,208 m² útiles","zona industrial de maipú, maipú",venta,bodegas,,
6.126,uf,184 m² útiles,"pedro leon ugalde 1557, bogotá - sierra bella, santiago",venta,bodegas,,
33.388,uf,"1,336 m² útiles","retazo fundo caledonia, ercilla, ercilla",venta,otros inmuebles,,
3.400,uf,140 m² útiles,"avenida providencia 2033, providencia, chile, providencia",venta,otros inmuebles,,
23.793,uf,531 m² útiles,"josé manuel borgoño 2955, renca, chile, parque las palmeras, renca",venta,otros inmuebles,,
22.000,uf,211 m² útiles,"av. manuel montt 1800 - 2100, providencia, chile, inés de suárez, providencia",venta,otros inmuebles,,
120.000,$,1 m² útiles,"pasaje 447 1800, las parcelas, peñalolén",venta,otros inmuebles,,
22.990.000,$,"5,000 m² útiles","triwe sn, frutillar",venta,otros inmuebles,,
22.990.000,$,"5,000 m² útiles","triwe sn, frutillar",venta,otros inmuebles,,
9.900,uf,112 m² útiles,"metro escuela militar, las condes",venta,otros inmuebles,,
25.000,uf,210 m² útiles,"moderna clinica estética metro pedro de valdivia, providencia",venta,otros inmuebles,,
26.300,uf,260 m² útiles,6 dormitorios,"eleodoro yañez, las lilas, providencia",venta,otros inmuebles,
8.564,uf,"35,152 m² útiles","lote b parcela 16,, río bueno",venta,otros inmuebles,,
6.000,uf,138 m² útiles,"catedral con plaza de armas, centro histórico de santiago, santiago",venta,otros inmuebles,,
262.000.000,$,418 m² útiles,"quinta sur 374, placilla, valparaíso",venta,otros inmuebles,,
262.000.000,$,418 m² útiles,"quinta sur 374, placilla, valparaíso",venta,otros inmuebles,,
262.000.000,$,418 m² útiles,"quinta sur 374, placilla, valparaíso",venta,otros inmuebles,,
